	Organism	Dilution
39	Bpertussis	1
50	Bpertussis	1
51	Bpertussis	2
54	Bpertussis	2
53	Bpertussis	3
57	Bpertussis	3
38	Bpertussis	4
41	Bpertussis	4
40	Bpertussis	5
55	Bpertussis	5
52	Bpertussis	6
56	Bpertussis	6
11	Hinfluenzae	1
34	Hinfluenzae	1
32	Hinfluenzae	2
66	Hinfluenzae	2
13	Hinfluenzae	3
48	Hinfluenzae	3
16	Hinfluenzae	4
65	Hinfluenzae	4
31	Hinfluenzae	5
49	Hinfluenzae	5
60	Kpneumoniae	1
63	Kpneumoniae	1
42	Kpneumoniae	2
47	Kpneumoniae	2
59	Kpneumoniae	3
62	Kpneumoniae	3
44	Kpneumoniae	4
58	Kpneumoniae	4
45	Kpneumoniae	5
61	Kpneumoniae	5
43	Kpneumoniae	6
46	Kpneumoniae	6
136	Nfarcinica	1
137	Nfarcinica	1
135	Nfarcinica	2
138	Nfarcinica	2
139	Nfarcinica	3
146	Nfarcinica	3
144	Nfarcinica	4
145	Nfarcinica	4
143	Nfarcinica	5
147	Nfarcinica	5
0	Nwallacei	1
19	Nwallacei	1
1	Nwallacei	2
29	Nwallacei	2
2	Nwallacei	3
28	Nwallacei	3
20	Nwallacei	4
26	Nwallacei	4
3	Nwallacei	5
24	Nwallacei	5
21	Nwallacei	6
22	Nwallacei	6
124	Saureus	1
131	Saureus	1
125	Saureus	2
132	Saureus	2
127	Saureus	3
129	Saureus	3
126	Saureus	4
133	Saureus	4
128	Saureus	5
134	Saureus	5
130	Saureus	6
142	Saureus	6
